क्षुधापिपासित	222-04
क्षुधानिवृत्ति	222-04
क्षेत्रोपपत्ति	222-19
क्षौणिप्राचीर	223-19
क्षौणिभुज्	223-19
खट्वांगधृत्	225-09
खंडविकार	225-18
खुरलिक	228-05
गणपूर्य	230-17
गंडकीपुत्र	232-03
गतप्रभ	232-13
गत्यनुसर	233-01
गद्याल	233-10
गंधवाही	233-14
गभस्तिकर	235-05
गर्भिणीदौहद	238-03
गर्भिणीव्याकृति	238-03
गलग्रहण	239-01
गलवार्त	239-01
गांडिवधन्वन्	240-20
गात्रकर्षण	240-26
गिरिजानंदन	242-16
गिरिजासुत	242-16
गुप्तवेश	246-15
गुरुवासर	246-25
गृहदेहली	248-18
गृहशया	248-18
गृहिणीपद	249-03
गोवर्धनधारिन्	250-07
गोष्ठपंडित	250-07
ग्रहमंडली	255-01
ग्रहसंगम	255-01
ग्रामेयी	256-04
ग्रीष्मकालीन	256-13
घटपर्यसन	257-03
घटीग्राह	257-12
घट्टकुटी	258-02
घट्टकुटीप्रभातन्याय	258-02
घंटागार	258-05
घंटाफलक	258-05
घृतोदन	260-11
घोटारि	260-14
चक्रपादक	261-08
चतुरंश	263-30
चतुःपथ	263-30
चतुश्शाल	263-30
चतुःशाली	263-30
चतुश्शाली	263-30
चंद्रार्धशेखर	265-15
चंद्रजात	265-15
चंद्रतनय	265-15
चंद्रवदन	265-15
चंद्रसंज्ञ	265-15
चर्मावकर्तृ	268-18
चर्मनालिका	268-18
चलांतक	269-01
चामरग्राहिन्	270-33
चारचंचु	271-08
चार्वंगी	271-15
चित्प्रकृति	272-21
चित्तोद्रेक	273-05
चित्रकथालाप	273-08
चिंतना	274-09
चीनवासस्	275-16
चैत्रावलि	277-25
च्युतात्मन्	278-22
छत्रधर	278-29
छत्रपति	278-29
छत्रिक	278-32
छंदोभंग	279-08
छात्रव्यंसक	280-05
छिन्नमस्तक	281-08
जगत्यधीश्वर	282-06
जगतीश्वर	282-06
जंघाकार	282-21
जनमर्यादा	283-10
जन्मकुंडली	284-18
जन्मदिवस	284-18
जन्मपत्रिका	284-18
जंभरिपु	285-14
जयंतपत्र	285-19
जराजीर्ण	285-29
जलधिरशना	286-09
जलनीलि	286-09
जलमंडूक	286-09
जातिवैरिन्	288-20
जानपदा	289-07
जीवगृह	291-12
जीववत्सा	291-12
ज्ञानतत्व	294-05
ज्ञानदा	294-05
ज्वरप्रतीकार	295-16
झांट	296-28
तटा	299-14
तडिद्वत्	299-22
तडिद्वत्	299-22
तत्वाभियोग	300-04
तत्वार्थ	300-04
तत्वज्ञ	300-04
तत्वविद्	300-04
तत्वतस्	300-04
तत्वन्यास	300-04
तनुभवा	302-06
तनूद्भवा	302-09
तनूरुह्	302-09
तनूरुह्	302-09
तपनात्मज	303-11
तपोऽवट	303-14
तपःक्लेश	303-14
तपोविशेष	303-14
तरीरथ	305-12
तरित्री	305-14
तात्विक	307-04
तालव्यवर्ण	308-22
तालव्यस्वर	308-22
तिथिपत्री	309-21
तिथिवृद्धि	309-21
तुंदपरिमृज्	312-12
तुरगब्रह्मचर्य	312-23
तुरंगशाला	312-26
तुलसीपत्र	313-03
तुषारपर्वत	313-10
तूलधनुस्	314-08
तोकक	316-19
त्रिखट्वी	318-06
त्रिशूलधारिन्	318-06
दक्षिणेतरा	322-12
दक्षिणोत्तरवृत्त	322-12
दक्षिणप्राच्	322-12
दंडार्ह	323-01
दंडाज्ञा	323-01
दंडशास्त्र	323-01
दत्तानपाकर्मन्	324-02
दंतोलूखलीक	324-15
दंतपत्रिका	324-15
दंतशोधनि	324-15
दंतसंघर्ष	324-15
दरणी	326-06
दर्पाध्मात	326-17
दर्भांकुर	326-21
दशकंठरिपु	327-17
दशकंधरारि	327-17
दशकंधररिपु	327-17
दाक्षायणीपुत्र	329-01
दानपत्र	329-25
दायादा	330-13
दारग्रह	330-15
दारुमुख्याह्वा	330-23
दास्याःसदृशी	331-10
दिवांधिका	332-08
दीनबंधु	334-11
दीपालि	334-14
दीर्घतुंडी	335-03
दुरेषणा	335-20
दुष्टाशय	338-03
दुःपच	338-06
दुःप्रज्ञ	338-06
दुस्सम	338-06
दुःसत्व	338-06
दुस्साक्षिन्	338-06
दुस्थम्	338-06
दूतकमुख	339-03
दूर्वांकुर	339-09
देवार्चना	342-05
देहजा	344-09
देहधृष्	344-09
देहस्वभाव	344-09
देहलीदीप	344-11
दैतेयेज्य	344-15
दैतेयगुरु	344-15
दैतेयपुरोधस्	344-15
दैतेयपूज्य	344-15
दैतेयनिषूदन	344-15
दैतेयमातृ	344-15
दैतेयमेदजा	344-15
दोलिकाधिरूढ	345-26
दोलिकायुद्ध	345-26
दौष्यं(ष्मं)ति	347-09
द्यूतपौर्णिमा	347-22
द्वात्रिंशल्लक्षण	350-06
द्विभुज्	350-06
धनाधार	352-31
धम्मिल	354-11
धरणिकीलक	354-15
धरणिपुत्र	354-15
धरणीपुत्र	354-15
धरणिजा	354-15
धरणीजा	354-15
धरणिपुत्री	354-15
धरणीपुत्री	354-15
धरणिसुता	354-15
धरादेव	354-16
धरासुर	354-16
धरात्मजा	354-16
धर्मकथादरिद्र	354-21
धर्षणा	356-07
धीमंत्रिन्	360-07
धूम्राह्व	362-07
नमस्कृत	369-08
नमोवाकम्	369-08
नर्तनगृह	370-12
नलिनीषंड	371-07
नवनिधि	371-14
नाडियंत्र	373-16
नाडिव्रण	373-16
नातिचर	374-04
नानाविधम्	374-12
नारीकेर(ल)	375-16
नारीकेलि(ली)	375-16
नालिकेलि(ली)	376-07
नासाच्छिद्र	376-18
निकुरं(रुं)ब	377-18
निग(गा)लवत्	378-10
निर्गंधपुष्टि	382-17
निर्भर्त्सना	387-42
निर्माणा	388-04
निष्टापन	392-25
निष्कामम्	393-05
निष्प्रतिकारम्	393-05
निष्षमम्	393-05
निष्ष्पंद	393-05
नीलं(लां)गु	397-02
